#bytes,#repetitions,t[usec],Mbytes/sec
16,1000,1.36,11.76
32,1000,1.40,22.89
64,1000,1.69,37.84
128,1000,1.74,73.58
256,1000,1.99,128.87
512,1000,2.08,245.73
1024,1000,2.30,445.03
2048,1000,2.97,689.16
4096,1000,3.92,1044.96
8192,1000,5.52,1483.99
16384,1000,7.31,2240.79
32768,1000,10.07,3253.12
65536,640,14.51,4516.98
131072,320,23.52,5571.64
262144,160,33.86,7740.95
524288,80,55.52,9443.98
1048576,40,98.79,10613.72
2097152,20,184.70,11354.08
4194304,10,354.54,11830.16
8388608,5,697.76,12022.17
16777216,2,1383.88,12123.31
33554432,1,2760.84,12153.71
67108864,1,5505.84,12188.66
