#bytes,#repetitions,t[usec],Mbytes/sec
256,1000,0.33,775.02
512,1000,0.40,1287.86
1024,1000,0.51,1996.30
2048,1000,0.75,2714.84
4096,1000,1.13,3621.60
8192,1000,1.88,4357.08
16384,1000,2.98,5506.21
32768,1000,4.83,6787.54
65536,640,8.37,7826.34
131072,320,15.20,8624.52
262144,160,12.62,20764.19
524288,80,22.36,23446.93
1048576,40,52.54,19957.75
2097152,20,139.45,15038.29
4194304,10,323.66,12958.97
8388608,5,986.93,8499.73
16777216,2,2639.78,6355.54
33554432,1,5935.33,5653.33
67108864,1,12153.20,5521.91
134217728,1,25895.74,5183.00
268435456,1,48902.44,5489.20
